Name,TM,AVG,OBP,SLG,HR,PA,BABIP,BB%,SO%,BB,HP,AB,SF,RBI,R,SB,WPA,1B,2B,3B,CON,POW,EYE
Samet Daiu,Texas,.242,.335,.315,5,469,.292,11.9,17.9,56,2,409,2,21,34,8,-2.87,80,13,1,65,55,60
Athen Wilson,Boise,.242,.280,.355,9,432,.300,4.2,23.4,18,4,409,1,33,40,2,-2.82,73,15,2,60,60,40
N.C. May,New Orleans,.242,.356,.296,3,435,.302,14.0,18.6,61,5,368,1,31,46,1,-0.48,77,7,2,65,45,65
Landon Jones,Colorado,.241,.361,.286,1,421,.289,14.3,14.7,60,7,353,1,23,44,2,-1.31,73,9,2,70,40,70
Gabriel Bonilla,St. Louis,.240,.320,.409,13,409,.260,10.5,16.4,43,1,362,3,50,49,4,0.47,54,18,2,70,60,55
Woody Taylor,Colorado,.240,.326,.315,6,487,.269,11.1,13.1,54,2,429,2,38,41,0,-2.76,83,14,0,70,60,55
Zachariah Sim,St. Louis,.240,.338,.345,9,465,.277,13.1,17.4,61,0,400,4,55,53,10,-1.72,73,13,1,60,60,70
Nate Reininga,Colorado,.240,.331,.384,14,499,.267,11.2,16.8,56,4,438,1,46,61,2,-0.43,73,15,3,75,70,55
Zach Trusnik,Chicago,.239,.372,.372,10,506,.263,17.2,13.6,87,2,414,3,47,51,1,-0.90,66,21,2,70,70,70
V.J. Taylor,Detroit,.238,.331,.338,6,447,.289,11.4,19.0,51,4,390,2,26,46,8,-0.85,67,19,1,70,60,70
Leonardo Elias,New Orleans,.238,.339,.364,11,422,.319,11.1,27.7,47,9,365,1,39,45,2,-0.03,64,11,1,65,65,55
Sergio Hernández,New Orleans,.238,.288,.388,16,438,.300,5.3,28.1,23,6,407,2,63,38,8,-0.96,69,11,1,50,70,45
Vlad Konkov,Houston,.237,.302,.364,10,378,.268,6.9,19.3,26,8,338,6,48,44,2,0.71,57,13,0,65,65,55
Virgil Furlong,Cincinnati,.236,.306,.290,2,428,.297,8.4,20.1,36,4,386,2,30,34,14,-0.75,74,15,0,65,50,60
Pablo Castro,Baltimore,.236,.329,.307,3,417,.278,12.2,15.3,51,0,365,1,38,32,10,-2.21,67,15,1,70,50,65
Ricky Pinardi,Washington,.233,.336,.309,6,417,.342,12.5,30.9,52,5,356,4,36,34,5,-2.43,69,7,1,55,60,70
Archie Grissom,Portland,.233,.282,.316,5,443,.285,5.4,20.8,24,6,408,5,35,45,7,-2.91,74,13,3,65,60,45
Marcel Cardona,Los Angeles,.232,.311,.309,7,427,.291,9.1,22.7,39,6,379,3,38,40,2,-1.82,74,6,1,60,75,50
Cole Hall,Los Angeles,.230,.310,.332,11,526,.259,10.1,16.2,53,2,470,1,43,59,10,-0.26,82,15,0,70,55,60
Troy Goggans,Philadelphia,.229,.357,.353,14,496,.246,13.9,14.3,69,13,414,0,44,47,0,-1.24,72,9,0,65,70,65
Andres Sisneros,Vancouver,.225,.300,.272,2,406,.270,9.1,16.7,37,3,364,2,34,27,0,-2.65,69,11,0,75,55,50
Kyndon Walker,Tampa Bay,.224,.342,.329,8,442,.231,14.7,9.5,65,3,371,3,21,43,4,-1.86,63,9,3,65,60,65
Andy Francisco,New York,.223,.313,.290,4,390,.277,11.3,19.7,44,1,345,0,24,36,0,-1.97,63,9,1,65,60,60
Jimmy Brossard,Montreal,.222,.326,.286,6,473,.287,12.5,23.3,59,5,405,4,41,40,3,-2.77,76,8,0,65,60,70
Wilson Reyes,Washington,.220,.256,.278,4,383,.271,4.2,21.1,16,2,363,2,29,33,0,-1.09,68,7,1,60,55,45
Brian Salvato,New York,.220,.316,.335,15,529,.249,10.6,19.3,56,10,460,3,58,56,0,-1.95,78,8,0,75,65,60
Graham Babcock,Sacramento,.218,.322,.348,10,385,.239,13.2,16.6,51,1,330,3,37,41,5,-0.50,50,11,1,65,65,70
Liam DiMarco,Salt Lake,.217,.293,.302,7,409,.250,8.6,17.8,35,6,364,4,36,25,0,-2.86,63,8,1,75,65,50
Vincenzo Vitiello,Washington,.217,.316,.294,7,392,.263,11.7,21.2,46,5,337,4,35,28,0,-1.24,61,5,0,65,55,65
Mel Johnson,Detroit,.216,.312,.296,6,416,.244,11.8,15.1,49,3,361,3,31,47,0,-2.78,61,11,0,60,65,75
Kenny Upshaw,Santa Fe,.215,.267,.274,2,404,.241,6.9,12.4,28,0,372,4,36,27,2,-2.05,65,10,3,70,35,55
Jon Gallegos,St. Louis,.215,.289,.350,12,388,.240,8.8,19.8,34,3,349,2,45,39,8,-0.75,52,11,0,55,55,50
Cody Schwandner,Albuquerque,.214,.330,.333,9,397,.250,14.4,19.4,57,2,336,2,29,40,0,-0.08,50,13,0,65,70,65
Dylan McCoy,Cincinnati,.214,.312,.339,12,426,.277,11.7,27.7,50,4,369,3,46,43,10,-1.88,57,10,0,50,75,65
Al Caramagno,Milwaukee,.214,.315,.303,5,485,.255,12.4,17.9,60,4,416,5,44,57,18,-0.62,65,16,3,65,60,70
Ray Clay,Boise,.212,.279,.280,4,377,.253,8.0,18.8,30,3,339,5,26,30,0,-2.84,58,9,1,55,60,50
Kyle Yoder,Boston,.212,.279,.334,10,377,.294,7.7,32.1,29,3,344,1,32,37,3,-3.26,53,8,2,55,65,50
Pete Waugh,Sacramento,.207,.265,.311,5,453,.242,7.3,17.4,33,1,415,4,28,48,9,-2.18,56,22,3,65,60,50
