Name,TM,POS,IP,ERA,FIP,BABIP,K%,BB%,HR/9,H/9,LOB%,GO%,STU,MOV,CON,STM,IR,IRS,BF,IBB,WPA,pLi,GS
Lucas Bergara,DET,RP,25.2,2.10,2.35,.333,31.4,8.6,0.7,7.7,89.0,0.53,7,7,7,4,19,4,105,0,0.6,1.86,0
Gabe Clinton,KC,RP,40.1,5.36,4.78,.302,20.0,11.7,1.6,9.4,71.4,0.46,8,5,6,4,19,10,180,0,0.1,0.64,0
A.J. Garvey,TBG,RP,33.1,5.94,5.71,.333,13.0,15.4,1.3,11.6,75.0,0.49,7,7,6,5,19,9,169,2,-0.3,0.41,0
Clive Graybill,POR,RP,16.2,3.24,5.20,.391,10.5,11.6,1.1,14.6,88.1,0.55,6,5,6,3,19,8,86,0,-0.3,0.83,0
Christian Gudgel,DET,RP,35.0,3.60,3.94,.297,17.8,12.5,0.8,8.5,80.3,0.46,7,6,5,5,19,6,152,2,1.4,1.23,0
Andy Paulin,-,RP,30.1,7.42,4.16,.337,17.0,11.6,0.9,11.0,55.1,0.61,5,6,5,3,19,5,147,0,-0.2,0.54,0
Bert Sironi,BOS,RP,24.1,3.33,3.65,.338,19.0,14.3,0.7,9.2,83.3,0.45,8,6,6,4,19,5,105,3,0.4,1.21,2
Maceo Abreu,HOU,RP,58.2,4.45,4.79,.305,10.1,10.1,1.1,10.3,68.9,0.57,5,6,7,5,18,6,257,0,0.5,0.90,5
Jeacques Bogren,PHI,RP,27.2,0.98,2.63,.297,23.6,14.6,0.3,7.5,96.1,0.55,8,7,6,4,18,2,123,5,1.4,1.97,0
Keith Griffin,SFS,RP,22.2,3.57,6.01,.212,24.2,11.6,2.4,6.8,97.3,0.37,8,6,6,3,18,7,95,0,0.5,1.17,0
Aaron Hutchens,BAL,RP,55.1,3.90,3.97,.332,14.0,14.0,0.7,10.6,79.3,0.54,8,6,6,4,18,6,265,9,1.0,1.25,3
Willy Voigts,MIL,CL,34.0,3.97,3.27,.324,34.9,10.3,1.6,7.9,79.2,0.52,9,7,6,5,18,9,146,1,0.9,2.26,0
Aries Amos,SFS,RP,53.0,5.43,4.21,.343,12.7,8.0,1.0,11.5,67.8,0.62,5,6,6,3,17,5,237,0,-0.9,0.97,0
David Callas,POR,RP,17.0,4.76,6.68,.298,18.4,11.8,2.6,10.1,90.9,0.38,8,6,6,3,17,9,76,0,-0.2,1.73,0
Ulisseo Delgado,MTL,RP,41.2,1.51,2.41,.342,21.0,4.8,0.4,9.3,89.6,0.63,5,6,7,6,17,1,167,0,0.9,0.56,0
Caleb Harry,MIL,RP,23.0,1.17,1.18,.273,38.6,7.2,0.4,5.1,90.9,0.66,9,7,8,3,17,4,83,1,1.0,1.30,0
Jaxon Huckleby,BOS,RP,32.0,3.09,3.24,.305,17.4,8.7,0.3,8.4,76.8,0.53,5,7,7,7,17,6,138,0,0.3,0.81,0
Chevy Kraft,TOR,SP,143.0,3.90,3.51,.321,13.9,5.9,0.8,10.3,73.3,0.60,7,6,7,6,17,6,613,0,-0.6,1.05,1
H.P. Maginot,POR-AAA,SP,30.1,6.82,5.35,.379,13.8,13.8,1.2,12.8,70.0,0.56,6,6,5,5,17,8,152,1,-0.4,0.60,0
Noah Mars,HOU,SP,102.1,5.01,4.73,.322,10.7,8.3,1.2,11.0,73.4,0.51,6,7,7,4,17,7,447,0,-0.9,1.06,1
Fabrice Mathiez,-,RP,31.1,6.32,4.82,.277,11.8,11.0,1.1,9.2,60.4,0.52,6,6,5,3,17,3,136,0,-0.8,0.65,2
Victor Niño,DCN,RP,18.2,1.45,3.01,.277,24.4,12.8,0.5,6.8,93.2,0.39,9,6,6,2,17,2,78,1,1.3,2.00,0
Adam Parkhurst,MIL,RP,16.0,7.88,6.68,.304,7.8,13.0,1.7,11.2,64.7,0.41,5,6,6,2,17,7,77,0,-0.3,0.52,0
Robbie Samuel,VAN,RP,22.1,2.01,3.59,.243,12.5,5.7,0.8,7.7,84.9,0.58,6,7,7,3,17,3,88,0,0.4,1.39,0
Pierce Shaker,NYY,RP,18.2,9.64,5.26,.457,14.1,11.1,1.4,16.9,63.1,0.54,6,6,5,5,17,4,99,0,-0.3,0.73,0
Neville Torres,MIN,RP,33.1,0.54,1.03,.257,37.3,4.8,0.3,5.1,97.7,0.37,9,7,7,4,17,3,126,0,1.6,1.37,0
Fraser Walker,POR,RP,25.2,4.91,2.70,.400,26.5,7.1,0.7,10.5,60.2,0.40,9,6,6,3,17,4,113,0,0.2,1.93,0
Lee Wentland,SAC,RP,30.0,6.00,4.28,.425,10.8,9.5,0.9,15.3,74.4,0.59,5,6,6,5,17,9,148,2,-0.7,1.33,1
Gabe Yonish,BAL,RP,35.0,4.37,3.23,.314,19.5,11.7,0.5,8.7,69.7,0.49,7,6,5,6,17,1,154,2,0.2,1.01,2
Emil Briones,POR,RP,53.2,4.19,4.51,.281,14.3,12.7,1.0,9.1,77.3,0.58,7,6,6,6,16,5,244,3,-0.0,0.98,4
Jolly Roger Easton,TBG,RP,27.2,5.20,4.62,.352,23.5,18.2,1.0,9.1,76.8,0.48,9,6,5,7,16,3,132,2,-0.5,1.05,0
John Erickson,CHC,RP,56.1,3.04,4.34,.255,17.1,10.4,1.1,7.8,84.6,0.39,9,6,5,4,16,4,240,0,0.9,1.20,7
Troy Fisher,DCN,RP,47.1,3.42,4.12,.211,15.8,6.6,1.1,6.5,76.4,0.59,7,6,7,5,16,1,183,0,1.5,1.55,4
Finley Grey,OAK,RP,14.2,7.36,3.83,.370,13.2,14.5,0.0,12.3,56.2,0.52,5,6,6,3,16,5,76,0,-0.6,1.36,0
Don Kogan,CLG-AA,RP,34.0,3.44,3.83,.279,11.7,9.0,0.5,8.7,77.4,0.42,5,6,6,3,16,4,145,0,0.3,0.75,0
Alejandro Murguia,NOLA,RP,12.1,4.38,2.74,.308,36.5,7.7,1.5,7.3,57.4,0.35,8,6,7,3,16,4,52,1,0.8,1.23,0
Lou Rauch,OAK,RP,22.2,6.35,5.83,.356,15.9,15.0,1.6,11.9,70.8,0.56,5,7,5,3,16,7,113,0,-0.2,0.63,1
Nicolas Sanchez,AZ,RP,27.2,5.53,4.15,.322,9.9,16.5,0.0,9.1,64.0,0.54,8,7,5,2,16,6,121,1,-0.1,1.24,0
Jonas Togba,NYM,SP,77.1,3.61,3.66,.331,15.8,8.5,0.8,10.1,75.1,0.57,6,7,6,7,16,7,329,0,0.6,1.31,0
Diante van der Wulp,MIL-AAA,CL,5.1,10.12,9.87,.476,7.4,0.0,5.1,21.9,81.6,0.55,7,6,5,3,16,4,27,0,-0.7,1.30,0
Jon Wills,BAL,RP,24.2,3.65,4.28,.379,29.5,11.6,1.8,9.9,91.4,0.57,9,6,6,2,16,5,112,2,0.0,1.56,0
Joe Barney,CLE,RP,24.1,5.92,4.96,.333,8.7,13.0,0.7,11.5,70.1,0.48,6,6,5,3,15,5,115,0,0.2,0.94,1
Jac Bocchetti,MTL,RP,37.0,5.11,3.82,.333,14.9,6.2,1.0,10.7,69.4,0.49,8,6,5,7,15,2,161,0,0.3,0.83,8
Tucker Brenn,PHI,RP,23.0,3.52,4.40,.231,17.3,12.2,1.2,7.0,78.4,0.49,8,7,5,7,15,3,98,2,0.6,1.30,0
Roy Cairns,CLE,SP,38.1,2.11,3.16,.277,16.8,8.4,0.5,7.7,86.0,0.51,6,7,6,6,15,0,155,0,0.7,1.00,5
Stephen Chandler,CLG-AAA,RP,31.1,3.45,5.58,.136,11.5,9.8,1.7,5.2,84.1,0.55,6,6,5,3,15,3,122,0,0.1,0.88,0
Iván Domingues,CLT,RP,11.2,6.17,8.57,.364,13.6,18.6,2.3,11.6,85.3,0.76,6,6,7,4,15,5,59,0,-0.5,1.28,0
Brandon Fala,COL-AAA,RP,15.1,1.17,3.98,.156,14.3,11.1,0.6,4.7,75.3,0.58,7,6,5,3,15,5,63,0,0.4,0.83,0
Rémy Fischer,TOR,RP,26.1,3.08,4.49,.297,11.0,9.3,1.0,10.3,76.1,0.60,4,6,6,2,15,5,118,0,0.4,0.91,1
Alan Hogg,CLG-AA,CL,23.1,5.79,5.01,.301,8.2,11.8,0.8,10.4,69.7,0.61,7,7,6,3,15,7,110,1,-0.2,0.94,0
John Lambert,CIN,RP,39.0,3.69,3.59,.321,19.8,9.9,0.9,9.0,71.4,0.67,7,6,6,2,15,1,162,2,0.8,0.79,0
Steven Lara,-,RP,15.1,2.93,3.46,.327,11.6,13.0,0.0,10.0,76.9,0.46,7,6,4,3,15,5,69,0,0.2,0.50,0
Kyuuto Masui,ARK-AAA,RP,26.1,2.73,4.38,.253,9.3,7.4,1.0,8.5,76.4,0.68,5,6,6,4,15,6,108,0,-0.1,0.65,0
Ulises Urena,PIT,RP,62.1,4.19,4.03,.319,11.6,5.6,1.0,10.8,71.8,0.55,5,6,7,6,15,2,268,0,-0.5,0.79,1
Moses Yonkers,SFS,SP,49.2,4.53,3.25,.318,14.0,6.3,0.4,9.4,64.5,0.59,6,7,5,6,15,5,207,0,-0.7,0.97,0
Dylan Allan,TBG,RP,25.0,2.52,2.38,.329,23.9,11.0,0.4,8.6,66.5,0.59,8,6,7,3,14,1,109,2,-0.9,1.90,0
Cameron Anderson,-,SP,21.0,5.57,4.60,.278,7.8,8.9,0.9,9.4,63.8,0.37,5,5,6,5,14,6,90,0,-0.2,0.92,5
Wamochia Benesovsky,HOU-AAA,RP,18.1,4.42,4.43,.196,17.8,4.1,1.5,6.4,67.6,0.41,7,6,5,3,14,2,73,0,0.2,0.59,0
Hassan Bhat,MIA,RP,12.1,1.46,3.80,.242,18.4,12.2,0.7,6.6,95.6,0.52,7,6,5,4,14,5,49,0,0.2,1.34,0
Carter Cato,SFS,RP,34.2,4.93,4.47,.333,13.8,2.6,1.6,11.7,74.0,0.62,5,6,7,2,14,4,152,0,0.3,1.14,2
Peter Estes,MTL,SP,39.0,7.15,4.92,.364,8.5,6.4,1.4,14.1,66.6,0.55,5,7,7,6,14,4,188,2,-0.6,1.20,0
Newt Gibbs,NOLA,RP,23.0,3.91,2.92,.274,13.0,6.5,0.4,8.2,66.4,0.51,5,7,7,7,14,4,92,1,0.6,0.60,0
Steve Hardy,KC,RP,28.0,7.39,4.35,.380,15.6,12.6,1.0,12.2,62.5,0.45,6,6,6,5,14,2,135,3,-2.3,2.04,0
William Johnson,TEX,RP,18.0,3.50,2.63,.234,19.1,10.3,0.0,5.5,63.2,0.51,5,6,5,3,14,3,68,0,0.3,0.42,2
Ed Levy,SFS,SP,61.2,2.63,4.28,.240,10.9,10.9,0.6,7.3,84.0,0.53,6,6,5,7,14,4,257,0,1.2,0.93,1
Ezio Maini,MTL,RP,34.0,2.38,3.21,.287,14.1,3.7,0.8,9.0,83.3,0.44,6,6,6,4,14,6,135,0,0.4,1.19,8
Joel Martinez,MIN,RP,38.1,2.58,2.14,.280,26.6,6.5,0.5,7.0,75.9,0.58,8,7,7,3,14,2,154,0,0.7,1.31,8
R.J. Mayo,CIN,SP,66.0,5.73,4.68,.344,14.6,6.0,1.6,12.1,71.1,0.57,6,5,7,7,14,9,302,2,-1.3,0.93,5
R.B. Miller,SFS,RP,33.2,2.14,3.40,.253,21.2,10.9,0.5,6.4,86.7,0.36,7,5,6,3,14,4,137,0,0.9,0.96,5
Gabriel Najera,VAN,RP,20.0,3.60,3.89,.207,12.0,6.7,0.9,6.3,67.9,0.57,6,7,6,3,14,3,75,0,0.1,0.67,0
Richard Ongrung,CLT,RP,13.0,4.15,3.59,.226,24.5,15.1,0.7,5.5,68.5,0.52,8,6,5,4,14,1,53,0,0.4,1.42,0
Joshua Reese,-,RP,37.0,2.92,4.28,.271,9.8,11.1,0.7,8.5,83.7,0.62,6,5,7,3,14,1,153,1,0.6,0.99,0
Jeronimo Reynoso,NYY-AA,RP,16.0,3.38,5.49,.114,10.3,20.6,0.6,3.4,77.7,0.74,6,6,5,3,14,8,68,1,-0.2,1.44,0
Ilyas Sheikh,SLC-AAA,RP,14.2,7.98,4.24,.458,12.0,16.9,0.0,16.6,63.4,0.60,5,7,5,5,14,4,83,0,-1.0,1.61,0
Brodie Shivers,SAC,RP,77.0,3.97,4.74,.276,15.4,12.3,1.2,8.5,80.4,0.48,8,6,6,5,14,1,332,1,0.4,1.06,10
Chrischen Temple,NYM,RP,22.0,3.27,3.11,.238,20.2,11.7,0.4,6.5,74.2,0.57,8,6,5,3,14,3,94,0,0.3,0.98,2
Ryan Testerman,HOU,RP,31.2,3.69,3.60,.329,26.9,11.5,1.1,8.2,80.7,0.47,9,5,5,3,14,6,130,0,0.2,0.81,11
Sung-sik Torgler,MTL,RP,17.2,3.57,3.54,.395,27.6,13.2,1.0,9.7,84.0,0.46,8,6,5,5,14,6,76,0,0.5,1.38,0
Grant Wright,AKA,RP,12.2,6.39,5.19,.316,14.3,14.3,1.4,9.9,67.7,0.38,6,6,5,2,14,5,56,1,-0.3,0.73,0
Zihni Çölasan,NOLA,RP,16.2,3.24,2.68,.424,36.8,18.4,0.5,8.1,83.3,0.47,9,6,4,3,14,3,76,0,-0.2,1.17,0
Tiburcio Aguado,SJ-AAA,SP,16.1,7.71,5.74,.404,16.2,13.8,1.7,13.2,69.2,0.42,6,6,6,4,13,2,80,0,-0.0,1.11,1
Tom Brent,SEA-AAA,SP,15.2,0.57,2.68,.229,13.1,8.2,0.0,6.3,87.5,0.54,4,6,7,7,13,2,61,0,0.8,1.48,0
Tavion Brown,COL,RP,14.1,4.40,1.84,.412,31.7,14.3,0.0,8.8,69.6,0.50,8,6,6,3,13,6,63,0,-0.6,1.39,5
Wagner Camarillo,CLE-A,SP,19.0,5.21,6.27,.269,7.0,8.1,1.9,10.4,74.8,0.48,4,6,6,5,13,3,86,0,-0.5,0.58,1
Bob Dougherty,SAC,RP,16.2,2.70,3.46,.309,14.9,8.1,0.5,9.7,80.5,0.58,5,7,5,3,13,1,74,0,0.8,1.03,0
Mason Ebersole,COL-AAA,RP,16.1,2.76,4.64,.191,10.1,21.7,0.0,5.0,79.2,0.63,5,7,5,3,13,5,69,0,-0.1,0.78,0
Brentley Ferretti,ATL,RP,24.0,1.50,3.16,.300,14.3,5.7,0.4,9.4,85.9,0.45,6,6,6,6,13,2,105,0,0.5,1.71,0
Mario Ferretti,SAC,RP,13.2,0.66,2.89,.219,21.6,11.8,0.0,4.6,93.3,0.48,8,6,5,6,13,3,51,0,0.3,0.97,0
Matt Heber,SFS,RP,21.2,2.91,3.80,.309,22.8,13.0,0.8,7.9,82.2,0.62,9,6,4,3,13,4,92,0,0.1,1.29,2
Chitomi Kobayashi,STL-AAA,CL,15.1,4.11,4.37,.392,15.2,3.0,1.8,13.5,86.5,0.55,5,6,7,2,13,7,66,0,-0.1,1.09,0
Lane Lane,CLG-AA,SP,42.2,4.01,3.59,.295,16.7,12.9,0.4,8.4,73.5,0.54,6,6,6,4,13,3,186,0,0.3,1.16,0
Ric Maldonado,NYY,RP,17.0,10.06,7.92,.436,3.0,13.1,2.1,20.1,69.0,0.62,6,5,5,4,13,8,99,0,-1.3,0.77,0
Olan Marshall,CIN,SP,69.0,4.30,3.54,.319,17.2,7.9,0.8,9.8,66.2,0.58,6,6,6,6,13,2,303,0,-0.3,0.96,5
Edward Owen,SLC-AAA,RP,19.0,5.68,5.58,.312,12.5,10.2,1.9,11.4,69.3,0.50,5,6,6,3,13,4,88,1,-0.4,0.80,0
Jeremy Perrin,ATL,CL,47.0,1.53,2.57,.303,15.3,7.9,0.0,8.8,86.2,0.49,7,7,6,7,13,4,202,1,2.6,2.60,0
Kesnel Pesti,CLE,RP,10.1,1.74,2.55,.310,17.5,10.0,0.0,7.8,69.2,0.50,8,6,7,2,13,1,40,0,0.5,1.21,3
Dorsey Thompson,DET,RP,71.1,6.31,4.44,.351,15.4,15.4,0.6,10.9,64.4,0.54,6,6,6,6,13,2,345,2,-1.8,0.90,3
John Weiner,MTL,RP,36.0,3.00,3.63,.234,13.8,5.5,0.8,7.2,67.0,0.54,4,6,6,4,13,5,145,0,0.5,0.91,0
Michael Zentgraf,NYY,RP,23.1,4.24,4.59,.342,15.0,13.3,0.8,10.8,81.0,0.43,7,6,6,6,13,6,113,1,-0.4,1.08,0
Leandro Acosta,NYM,RP,24.0,8.25,4.58,.337,12.0,9.4,1.1,12.0,57.4,0.52,5,6,7,3,12,1,117,3,-0.6,0.76,4
Laurus Armas,DET,RP,28.0,8.68,4.53,.396,12.5,9.6,1.0,13.8,55.8,0.58,7,6,7,6,12,4,136,0,-0.5,0.43,0
Dylan Bissett,ABQ,SP,137.1,4.52,3.59,.292,16.9,9.8,0.7,8.6,66.7,0.43,8,6,6,6,12,0,590,4,0.4,1.13,1
Calisto Castillon,SLC,SP,43.2,4.95,4.07,.351,17.9,10.2,1.0,10.7,71.6,0.54,7,5,6,7,12,2,196,1,-0.5,0.82,4
Bengie De Los Santos,POR,SP,55.1,3.42,4.57,.265,19.2,15.0,1.1,7.6,83.3,0.63,7,7,6,7,12,7,240,2,-0.9,1.06,8
Adrian DeLay,LAD-AAA,CL,11.1,3.97,6.01,.333,8.8,10.5,1.6,12.7,89.6,0.70,7,6,7,3,12,5,57,1,-0.4,0.99,0
Shelden Gentry,TOR-A,SP,20.0,2.70,2.69,.397,14.3,4.4,0.5,13.5,85.9,0.49,7,6,6,5,12,5,91,0,0.6,1.56,2
Johnny Itzen,COL,RP,14.0,5.79,4.39,.286,15.5,5.2,1.3,9.0,55.6,0.66,7,6,6,5,12,2,58,0,-0.1,1.05,0
Michael Jackson,BOI,RP,19.2,1.83,3.40,.237,12.5,13.8,0.0,6.4,84.0,0.56,5,6,7,6,12,3,80,0,0.3,0.81,0
Eli Jones,DET,RP,12.2,5.68,5.66,.344,26.8,7.1,2.8,10.7,69.4,0.24,9,6,6,7,12,3,56,0,-0.4,1.76,0
Tony Kraker,DCN,RP,29.0,4.97,4.74,.302,13.6,8.3,1.2,10.2,74.9,0.43,5,6,6,5,12,3,132,0,0.4,0.80,0
Aaron Molina,KC,RP,21.2,2.49,2.51,.281,20.2,4.5,0.4,7.9,80.5,0.56,7,6,6,6,12,5,89,0,0.3,1.23,1
Roque Moreira,TEX,RP,19.0,5.21,4.22,.317,15.7,11.2,0.9,10.4,71.9,0.63,6,6,5,4,12,5,89,0,-0.1,0.54,0
Jaxon Prince,AZ,RP,14.0,3.86,3.89,.316,23.3,8.3,1.3,9.0,81.4,0.48,8,5,7,6,12,3,60,0,-0.1,1.05,0
Dustin Scott,PHI,RP,25.1,1.42,1.60,.250,36.8,6.3,0.7,5.3,87.9,0.53,9,6,6,3,12,0,95,1,0.7,1.13,0
Kirk Tanevic,BOS,SP,36.2,1.96,2.99,.269,18.9,6.3,0.7,7.6,89.4,0.54,8,6,6,6,12,7,143,1,0.0,0.99,1
Yago Tavares,TOR,RP,41.2,6.26,4.47,.356,13.0,11.5,0.9,12.1,64.5,0.52,6,6,5,3,12,5,200,0,-0.9,0.77,9
John Terrell,CHC,RP,47.1,3.80,3.21,.326,19.5,9.8,0.6,9.3,74.5,0.61,8,6,5,7,12,2,205,0,0.6,1.34,7
Donall Thomas,CHC-AA,CL,9.1,0.96,1.78,.308,23.7,5.3,0.0,7.7,90.9,0.72,7,7,6,3,12,2,38,0,0.3,1.71,0
Silvester Vos,VAN,RP,19.0,5.21,4.11,.344,14.3,11.0,0.5,10.9,72.3,0.48,7,6,6,5,12,4,91,0,-0.1,0.52,0
